Year,Soy,Maize,Nature,Pasture,Other Agriculture,Other
2001,2000,1250,45500,13000,3500,2700
2002,2125,1300,44880,14200,3725,2750
2003,2250,1350,44270,15400,3950,2800
2004,2375,1400,43650,16600,4175,2850
2005,2500,1450,43030,17800,4400,2900
2006,2625,1500,42920,19000,4625,2950
2007,2750,1550,42820,19250,4850,3000
2008,2875,1600,42710,19500,5075,3050
2009,3000,1650,42610,19750,5300,3050
2010,3125,1700,42510,20000,5525,3050
2011,3250,1950,42400,20250,5750,3050
2012,3375,2190,42300,20500,5975,3050
2013,3750,2430,42190,20750,6200,3050
2014,4125,2500,42090,21000,6425,3050
2015,4500,2570,41980,21250,6650,3050
2016,4875,2640,41880,21500,6875,3050
2017,5250,2710,41770,21750,7100,3050
2018,5625,2780,41670,22000,7325,3050
2019,5625,2780,41670,22000,7325,3050
2020,5625,2780,41670,22000,7325,3050
2021,5625,2780,41670,22000,7325,3050
2022,5625,2780,41670,22000,7325,3050
2023,5625,2780,41670,22000,7325,3050
2024,5625,2780,41670,22000,7325,3050
2025,5625,2780,41670,22000,7325,3050
2026,5625,2780,41670,22000,7325,3050
2027,5625,2780,41670,22000,7325,3050
2028,5625,2780,41670,22000,7325,3050
2029,5625,2780,41670,22000,7325,3050
2030,5625,2780,41670,22000,7325,3050
2031,5625,2780,41670,22000,7325,3050
2032,5625,2780,41670,22000,7325,3050
2033,5625,2780,41670,22000,7325,3050
2034,5625,2780,41670,22000,7325,3050
2035,5625,2780,41670,22000,7325,3050
